,ratio_extRedirection,punycode,ratio_extHyperlinks,nb_external_redirection,ratio_digits_host,ratio_digits_url,nb_www,path_extension,google_index,port,status
0,0.875,0,0.470588235,0,0.0,0.0,1,0,1,0,0
1,0.0,0,0.033333333,0,0.0,0.220779221,0,0,1,0,1
2,0.0,0,0.0,0,0.0,0.150793651,0,0,1,0,1
3,0.25,0,0.026845638,0,0.0,0.0,0,0,0,0,0
4,0.537037037,0,0.529411765,0,0.0,0.0,1,0,0,0,0
5,0.571428571,0,0.7,0,0.0,0.0,0,0,1,0,1
6,0.0,0,0.918367347,0,0.0,0.0,1,0,0,0,0
7,0.0,0,0.033333333,0,0.0,0.259259259,1,0,1,0,1
8,0.38,0,0.793650794,0,0.0,0.0,0,0,0,0,0
9,0.193548387,0,0.221428571,0,0.0,0.076923077,0,0,0,0,0
10,0.0,0,0.0,0,0.0,0.0,1,0,0,0,0
11,0.166666667,0,0.0681818179999999,0,0.0,0.186046512,1,0,0,0,0
12,0.04109589,0,0.224615385,0,0.0,0.012048193,0,0,0,0,0
13,0.0,0,0.0,0,0.0,0.064516129,0,0,1,0,1
14,0.357142857,0,0.0663507109999999,0,0.0,0.0,1,0,0,0,0
15,0.0,0,0.0,0,0.0,0.019607843,0,0,0,0,1
16,0.2,0,0.04,0,0.0,0.0,1,0,0,0,0
17,0.0,0,0.0,0,0.0,0.06,0,0,1,0,1
18,0.0,0,0.0,0,0.0,0.0,1,0,1,0,1
19,0.0,0,0.02283105,0,0.210526316,0.148148148,1,0,0,0,0
20,0.0,0,0.115646259,0,0.0,0.0,1,0,0,0,0
21,0.214285714,0,0.181818182,0,0.0,0.0,0,0,0,0,0
22,0.0,0,0.076923077,0,0.0,0.1,0,0,1,0,1
23,0.2,0,0.084745763,0,0.0,0.0,0,0,0,0,0
24,0.0,0,0.0,0,0.0,0.095238095,0,0,1,0,1
25,0.0,0,0.7142857140000001,0,0.0,0.0,0,0,1,0,1
26,0.333333333,0,0.026086957,0,0.0,0.0,1,0,0,0,0
27,0.083333333,0,0.352941176,0,0.0,0.0,1,0,0,0,0
28,0.0,0,0.0,0,0.0,0.161764706,0,0,1,0,1
29,0.4375,0,0.516129032,0,0.0,0.398773006,1,0,1,0,1
30,0.2,0,0.052631579,0,0.0,0.0,1,0,0,0,0
31,0.0,0,0.611111111,0,0.0,0.34375,0,0,1,0,1
32,0.294117647,0,0.80952381,0,0.321428571,0.25,0,0,1,0,1
33,0.0,0,1.0,0,0.0,0.0,0,0,1,0,1
34,0.0625,0,0.457142857,0,0.0,0.212121212,0,0,0,0,0
35,0.4,0,0.625,0,0.0,0.0,1,0,0,0,0
36,0.146341463,0,0.6882494,0,0.0,0.0,1,0,0,0,1
37,0.7142857140000001,0,0.518518519,0,0.0,0.0,0,0,0,0,0
38,0.35,0,0.125,0,0.0,0.0,1,0,0,0,0
39,0.346938776,0,0.267759563,0,0.0,0.0,0,0,0,0,0
40,0.0,0,0.0,0,0.0,0.0,0,0,1,0,1
41,0.0,0,0.0,0,0.0,0.0,0,0,1,0,1
42,0.0,0,0.454545455,0,0.0,0.295918367,1,0,1,0,1
43,0.0,0,0.028571429,0,0.0,0.0,0,0,0,0,0
44,0.0,0,0.060377358,0,0.0,0.0,0,0,0,0,0
45,0.0,0,0.884615385,0,0.0,0.030534351,0,0,1,0,1
46,0.277777778,0,0.258064516,0,0.0,0.0,1,0,0,0,0
47,0.0,0,1.0,0,0.0,0.0,0,0,1,0,1
48,0.1,0,0.023809524,0,0.0,0.133333333,1,0,0,0,0
49,1.0,0,0.076923077,0,0.0,0.270440252,0,0,1,0,1
50,0.0,0,0.046511628,0,0.1363636359999999,0.227272727,1,0,1,0,1
51,0.0,0,0.15625,0,0.0,0.077669903,0,0,1,0,1
52,0.0,0,0.0,0,0.0,0.0,0,0,1,0,1
53,0.45,0,0.079051383,0,0.0,0.0,0,0,0,0,0
54,0.142857143,0,0.384615385,0,0.0,0.0,1,0,1,0,1
55,0.348837209,0,0.233695652,0,0.0,0.0,1,0,1,0,1
56,0.0,0,0.033333333,0,0.0,0.283950617,1,0,1,0,1
57,0.03125,0,0.385542169,0,0.0,0.0,0,0,0,0,0
58,0.0,0,0.259259259,0,0.0,0.0,0,0,0,0,1
59,0.0,0,0.62962963,0,0.0,0.0808080809999999,0,0,1,0,1
60,0.333333333,0,0.025423729,0,0.0,0.0,1,0,1,0,0
61,0.176470588,0,0.80952381,0,0.057142857,0.033333333,0,0,1,0,1
62,0.0,0,0.0,0,0.0,0.081081081,0,0,0,0,0
63,0.0,0,0.055555556,0,0.0,0.0,1,0,0,0,0
64,0.0,0,0.0,0,0.15625,0.125,0,0,0,0,1
65,0.0,0,0.0,0,0.0,0.038461538,1,0,1,0,1
66,0.0,0,1.0,0,0.0,0.0,0,0,1,0,1
